id,owner,timestamp,type,version,bench reference,crate weight timestamp,crop name,weight in kilograms
70669,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01241,2024-01-06 18:35:38+00:00,Incise leaf green,1.730751512232884
70670,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-06 18:38:36+00:00,Crop not found,2.5475082397460938
70671,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00797,2024-01-06 19:22:33+00:00,Crisp leaf green,4.407728437870955
70672,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01191,2024-01-06 19:22:33+00:00,Crisp leaf green,4.34179848750021
70673,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01220,2024-01-06 19:22:33+00:00,Crisp leaf green,4.9522198302794
70674,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00273,2024-01-06 19:22:33+00:00,Crisp leaf green,5.316659635493233
70675,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00599,2024-01-06 19:55:50+00:00,Crisp leaf green,4.564685821533203
70676,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00170,2024-01-06 19:58:03+00:00,Incise leaf green,2.912527561187744
70677,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00149,2024-01-06 20:25:27+00:00,Incise leaf green,3.672968800914498
70678,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01085,2024-01-06 20:25:27+00:00,Incise leaf green,3.895788971531181
70679,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00651,2024-01-06 21:01:45+00:00,Crisp leaf green,3.9359455551974483
70680,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00557,2024-01-06 21:01:45+00:00,Crisp leaf green,4.897483781350403
70681,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-06 21:04:27+00:00,Crop not found,0.6492621898651123
70682,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00790,2024-01-06 21:15:13+00:00,Crisp leaf green,3.8688876628875732
70683,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-06 21:15:43+00:00,Crop not found,0.9754538536071777
70684,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00200,2024-01-06 21:32:16+00:00,Incise leaf green,3.4406040452698154
70685,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00091,2024-01-06 21:32:16+00:00,Incise leaf green,3.3920741329773985
70686,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01149,2024-01-06 21:32:16+00:00,Incise leaf green,3.1719809976255875
70687,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00265,2024-01-07 14:33:42+00:00,Crisp leaf green,1.185660517411618
70688,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00709,2024-01-07 14:33:42+00:00,Crisp leaf green,4.117098353074047
70689,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01244,2024-01-07 14:33:42+00:00,Crisp leaf green,3.575087084210886
70690,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00630,2024-01-07 14:33:42+00:00,Crisp leaf green,3.361232029192133
70691,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00424,2024-01-07 14:33:42+00:00,Crisp leaf green,3.5150009217564784
70692,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01148,2024-01-07 14:33:42+00:00,Crisp leaf green,2.328071792062967
70693,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01144,2024-01-07 16:26:17+00:00,Crisp leaf green,5.504835545220471
